"nombre","titulo_comentario","contenido_comentario"
"mister ribs","Decepcionante!!","El Mister Ribs de la zona T, solia ser de mis restaurantes favoritos pero recientemente mi experiencia fue muy negativa, ya que cambiaron la carta y muchos de mis platos favoritos ya no estan, en cuanto el servicio deja mucho que desear, el mesero fue...Más"
"El Patio Restaurante-Cafe Bogota","Poco","El sabor de los raviolis estaba delicioso, pero lo referente a la cantidad y precio no lo fue, surivieronuy poco y cada plato era muy costoso"
"Juana la Loca","Muy mal","4 personas...servicio demasiado lento. Crema de espárragos insípida sin ninguna presentación y tuve que pedir queso parmesano para darle algo de sabor.  Tartar de pulpo horrible...más sabor a cebolla que a pulpo. Una aromática de luminaria de pena."
"Osaki 118","He tenido mejor sushi","He estado allí para come sushi. Estuvo bien, pero nada más. No sé cómo los otros platos. Un montón de gente tenía fideos."
"Cuzco","Escelente comida... pesima atención","Estoy almorzando en este sitio por recomendaciones que me dieron y en verdad la comida es muy buena.. pero el mesero tomo mal la orden y luego me paso un pie de maracuya que no era asi.. era helado.. mas duro que nada... no podia...Más"
"Lounge de Andrei","Muy pequeñas las porciones","Estuvimos con un grupo de amigos, él servicio excelente así como el ambiente es muy agradable,tienen una muy buena carta de vinos. Sin embargo las porciones de las entradas son muy pequeñas. Es algo para mejorar."
"80 Sillas","Regular atención","El lugar es agradable, bien ubicado, el menú principalmente de comida de mar refiriendo pesca responsable, la comida en general rica pero no deliciosa, las salsas tenían mucho sabor a grasa y la distribución de las ingredientes era un poco desproporcionada (por ej mucho pan...Más"
"Tet Taberna Vietnamita","Normal","Ubicado en quinta Camacho
Es un lugar pequeño con una carta con buenas opciones 
La atención es buena 
Sin embargo esperaba más , la comida es de calidad pero tiene muy poco sabor
Nada que ver con comida oriental vietnamita 
Esperaba muchísimo más 
No sorprende...Más"
"Abasto","Sencillo","En otras ocasiones he salido asombrada de la comida y olores del restaurante. Lleve a mi hija a mi restaurante favorito de Bogota y me quede algo pasmada. La calidad de pollo y la ensalada fue muy regular. El plato de mi hija si estaba...Más"
"El Portico","Sitio chevere, comida y servicio pésimo","La comida es MUY REGULAR, de verdad. Lastima por la comida porque el sitio amerita que el sitio es un espectáculo. Pedí una bondiola, llego frío, y no pude terminarla, no está buena. A mi esposa le pasó lo mismo con la trucha. Eso si,...Más"
"Hamburgueseria","sobrevalorado","El sitio es normal, nada espectacular; no es bueno pero tampoco malo;  las hamburguesas son ok, sin embargo son caras para lo que son. Considero que hay mejores sitios en Bogotá para comer hamburguesa, no volvería."
"Pesquera Jaramillo Parque de la 93","Mas fama que calidad","Este restaurante es el ejemplo típico de que la fama no es siempre sinónimo de calidad. En Bogotá se pueden comer mariscos de mucha mejor calidad y a mejor precio. No lo recomiendo."
"Crepes & Waffles","Lugar de moda y costumbre.","Sus locales son bien diseñados y construidos para atender y albergar cómodamente cantidafe de visitantes.
Atrás muy olvidado queda el tema de los Buenos sabores, es un lugar muy visitado y el interés de sus propietarios refleja  nada más que el económico, más que el...Más"
"Tamarine Asian Cuisine","Las cenas eran inconsistentes, maravilloso personal, decoración interesante.","Compartimos y disfrutamos del aperitivo de camarones y calamares tempura.

\compartimos dos órdenes de pato los tamarindos con arroz jazmín. La primera orden fue excelente, la segunda era difícil.

Bueno volcán de chocolate con bayas mixtas de sake.

Todo el personal involucrado eran excelentes.Más"
"La Diva Pizzería","Buen brunch.","Es un restaurante muy bonito y muy bien decorado que cuenta con buena atención y una carta esencial de pizza. 
Estuvimos en familia y disfrutamos del brunch que en términos generales es bueno con detalles. 
La mimosa no invita a repetirla, muy pobre. Las opciones...Más"
"Papa John's Pizza","Domicilio no tan bueno","Realice un pedido a la linea de domicilio indicaron tiempo de entrega 35 minutos el pedido llego a los 65 minutos.
La calidad del producto es bueno  el sabor es muy bueno pero la falta de servicio y calidad en las entregas es una mala...Más"
"Pizza 1969","Demorado el domicilio","Se demoró el servicio más o menos una hora y media y cuando llegó la pizza estaba tibia, cuando estaba en la segunda rodaja ya estaba fría. Bajaron mucho la calidad."
"Cabrera Resto-Bar","Comida ok, servicio flojo","Fui con un amigo a cenar pero desde la entrada el tipo que recibe a las personas es hostil,  te quieren dar la sensación de que el sitio es super exclusivo de malas si no le gusta su mesa o de malas no hay no...Más"
"Bicono","Falta mejorar la atención al cliente","Es una buena hamburguesa, sin embargo siento que el precio no justifica el producto. Deben mejorar la atención al cliente."
"Wok Calle 69","Rico!","El sitio tiene comida muy buena, en todos los aspectos, su elaboración sus ingredientes. Lo único molesto es la distribución del sitio ya que a veces cuando está lleno es incomodo caminar dentro del restaurante o que las mismas meseras le pasen a uno los...Más"
"Sagal Steak House","Siempre nos ha gustado ir a SAGAL, pero...","Siempre nos ha gustado ir a SAGAL, pero hoy domingo 19 sep 2010, fuimos y la atencion fue pesima. Al final nos toco retirarnos ya que casi no nos atienden y luego de realizar el pedido pasaron 50 minutos y no trajeron el pedido."
"El Cebollero","Esperaba mas!","Fuimos a almorzar  con unos amigos, uno de ellos vegetariano, esperábamos poder quedar satisfechos todos. Las salchichas de carne son buenas, pero la salchicha de lentejas, no es para nada elaborada, es una porción de lentejas enrollada. Esperaba mas en las opciones vegetarianas."
"Fulanitos calle 71","Comida típica","La carta de Fulanitos se ve muy interesante. Es una lástima que cuenten con una cantidad limitada de platos y que cuando se quiera pedir algo típico no haya más platos disponibles y toque pedir un plato común a la carta."
"El Chato Bogota","falta de armonia","de 5 platos 2 me irritaron. me gustaron las ostras, el pan, y el postre de limonaria. la carne estaba dura y insipida. y los cachetes de cerdo tenian unos acompañantes que no armonizaban. tambien pedimos unos calamares que no armonizaban los sabores.
atencion y...ambiente muy bienMás"
"Fulanitos calle 71","Ha desmejorado","Hace tiempo no iba y hace poco fui a su nueva sede en la calle 71, decepcionante totalmente, una bandeja paisa con frijoles todo muy frio, nada especial y muy costoso para el plato que comi, la verdad no volveria"
"Hard Rock Cafe","Regular","El servicio es muy lento y me parece que la comida es super grasosa y no es tan buena . Es muy caro para el servicio que presta.Más"
"Wingz N Beer","Divertido","El servicio muy bueno y la comida estaba bien
Por mejorar: los tiempos (se tardo mucho en salir el pedido)
No es el súper lugar pero se puede pasar un buen rato con familia y amigos."
"80 Sillas","Baja satisfacción","La atención es buena, sin quejas por este aspecto, pero las porciones de platos fuertes son pequeñas, no vienen con acompañamientos  y de sabor normal para el precio."
"Casa Mexicana","ERA MUCHO MEJOR","Hace años no almorzaba en casa mexicana, tenia un muy buen recuerdo por eso quise volver,  los años le han pasado , los platos son poco creativos bastante  planos aunque de buen sabor, el servicio es amable aunque no era difícil atendernos había pocas mesas...Más"
"Julia","Mas fama que realidad","Nada del otro mundo, no vale lapena hacer fila por pizzas que aunque son buenas no son nada del otro mundo, la atencion regular, como si estuvieran haciendo un favor gratis, un poco incomodo."
"restaurante mirador la paloma","Un salva vidas nocturno","Tuve una escala en Bogotá. Por tanto, quise pasar por la noche por esta bella ciudad y me fuí en un tour de bares. Para culminar la noche deseaba un restaurante abierto y con buena vista. Atinádamente el taxista nos recomendó visitar la Paloma.

En...Más"
"La Hamburgueseria","La comida no es nada del...","La comida no es nada del otro mundo pero el ambiente es muy agradable (buena música, atención)"
"La Vecindad - Mexican Grill","Agradable","Celebramos un cumpleaños, no realizamos reserva así que nos tocó esperar un tiempo para una mesa con ubicación media, el lugar estaba muy lleno por lo que recomiendo hacer reserva o llegar temprano.

El servicio de los meseros bueno en su mayoría.

La comida muy...Más"
"Bagatelle","Desayuno un poco sobrevalorado","Fuimos el sábado en la mañana.  Entre las cosas que pedimos estaban los huevos Le Juanguis (fritos con chicharron y arepa), super simples, el chicharron no tenia nada de sal, 23,000 pesos. Los jugos (zanahoria y piña) estaban sin colar por lo cual eran muy...Más"
"La Fonda Mexicana","Seguiré buscando sitios de comida mexicana en Bogotá","Tenía muchas expectativas de la comida. Pedimos Enchiladas Suizas y Enmoladas y un Burrito ranchero acompañado de agua de tamarindo y un postre: quesadilla de Arequipe con helado. Me pareció rico pero normal. La comida estuvo de buen sabor pero fría! La atención normal, nada...Más"
"La Bagatelle - Calle 94","Brunch agradable","Nos sentamos en el patio al aire libre y tenía un maravilloso brunch. Tenía los huevos benedictinos. Café era genial. El personal era agradable y servicial. Sin duda volveré. Mis amigas tomates secados parecía bueno también."
"Selina Bogota La Candelaria - Restaurante","Sitio lindo, servicio a los gritos","Selina es un lugar arquitectónica que vale la pena visitar porque es una curiosidad al estilo del barrio La Candelaria de Bogotá. Las lámparas de diseñador, los murales, los detalles en todo. Hoy desayuné allá y aunque la atención que recibí estuvo por debajo del...promedio en términos de amabilidad, necesité escribir esta nota no por eso sino por la forma tan grosera como el señor que atendía las mesas trató a la señora de al lado. Le hablaba a los gritos porque él no entendía lo que la señora quería. La miraba muy feo y la trataba de verdad muy mal. A los gritos. Así no hay belleza que aguante.Más"
"Jungla Kumba","Disbalance","La comida rica , no proporcional con el precio, cobran por todo . Buena atención , y hay que pagar hasta para entrar a la piscina de pelotas a los niños"
"La Fragata Giratorio W.T.C.","Demasiado costoso","A pesar de tener una linda vista, los precios son muy altos en relación con los platos,quizás por menos puedes conseguir platos de igual calidad"
"Salto del Angel","PUDIERA SER MEJOR!!!!","La comida es buena, pero con respecto a los precios y a otras opciones en Bogotá, considero que no es la mejor! al lugar pudiera ser mas acogedor, mas cálido."
"Ko Asian Kitchen","Interesante oferta, pueden mejorar lançadoras de lancinada, mas con los precios que cobrándole ella.","Interesante la oferta y todo el ambiente que te venden detrás de fusiones asiáticas.  La carta es reducida para un restaurante de ene nivel, adviertes del picor de las comidas y cuando reclame no estar picante, me ofrecieron salsas de pote comerciales.  Y adicionalmente es...absurdamente caro.Más"
"Dona Elvira","Muy rico pero poco práctico","Muy rica la comida pero si vienes en un grupo grande debes esperar casi dos horas para entrar y no tienen ningún servicio especial para los adultos mayores."
"Archie's","Pizzeria","Es una cadena de varios restauranten en Bogota, lamentablemente su calidad ha bajado y sus precios han subido."
"Bistecca e Vino Da Trattoria de la Plaza","Mal.... Pusieron música en vivo","Somos clientes habituales de este restaurante 
especialmentente agradable por el volumen bajo de su música, excelentes vinos, aperitivos y comida para ir con amigos y conversar, pero fuimos ayer y resolvieron poner música en vivo a un volumen que no permite mantener una conversación. Es...Más"
"Buffet King Bogota San Martin","Tenedor Libre","Una buena opción de tenedor libre en Bogotá. No hay límite en comida,puedes repetir las veces que quieras,variedad en comida. Falta barra libre de postres y más variedad en carne; osea no hay parrilla. No incluye bebida. Todos los medios de pago. Buena atención y...Más"
"La Fama Barbecue","Buen servicio pero no tan buena comida, increíble michelada!","En una reciente visita de amigos a Bogotá, decidimos ir al tan recomendado sitio... El lugar esta muy bien pensado y diseñado, buen ambiente. El servicio amable y capaz. 

Pero hablando de la comida, las cosas no salieron tan bien, todo estaba muy condimentado, mucho...Más"
"La Ventana restaurante","Problemas en el servicio","La atención para las entradas y los fuertes fue adecuada, pero tuvimos inconvenientes en el postre pues la persona que se identifico como Chef Rosa mostró mal aspecto físico, no tenia cubierto ni recogido su cabello, y al acercarse a la mesa se le sintió...Más"
"Stromboli","Una pizza normal","La comida está rica pero no es nada del otro mundo, es un restaurante más de pizza que tal vez la sirven diferente pero a la final sabe igual que muchas."
"Coctel del Mar","Meh...","La comida es fresca. Sin duda. La ubicación no es buena, es una cafetería y la preparación no es la mas sofisticada."
"Wok","Lento, comida aceptable","La comida es bueno y aceptable para para el precio de cada plato. La atención es muy básica, simple y de poca ayuda para recomendar opciones, pedir la cuenta es otro proceso lento."
"Itanos","Apenas da la relación costo beneficio","Este restaurante es particular, pues intenta ser de más alto nivel del que realmente es los platos son buenos pero el precio no se compadece con las porciones y el servicio"
"Tremenda Sal y Dulce","No gusto.","Es muy duro dar una mala opinión sabiendo que hay gente que invirtió sueños y tiempo en este negocio pero mi experiencia no fue la mejor. Fui a la nueva sede de la 99 con 9 y me fue terrible. Servicio demorado, pedí un fusilli...Más"
"Don Benítez Plaza Central","Buena comida, buen sitio, falta servicio!","Escogimos este restaurante por recomendación, la comida en general es buena, sin embargo la demora en atenderte, la demora en traer los pedidos, el que no recojan tus platos después de terminar y qué no te pongan cubiertos  y cuando pides postre y debas esperar...Más"
"Archie's","BUEN LUGAR, COMIDA MEJORABLE Y ALGO ESCASA","buena pizaa algo pequeña para el precio, la atención es buena, los tiemps de espera razonables, sus rivales directos, teniendo en cuenta que solo voy por su pizza, serían 1969 y fx, que me parece que lo supueran, pero este sitio tiene un mejor servicio...Más"
"Cosette","Una cafetería a la entrada de la Plazoleta de Comidas con precios de restaurante 5 estrellas, que no tiene","Es el que mejor cara de restaurante tiene comparado con los otros lugares en la plazoleta de comidas del centro comercial Andino. Quedé sorprendido con los precios exageradamente caros que tiene, no me salí por pena, no es un lugar como para tener que pagar...Más"
"Yanuba ","Bueno y malo","Solía vivir en Bogotá y Yanuba fue uno de los mejores restaurantes de la ciudad. Después de muchos años, volví a este lugar y me di cuenta de que la comida no es el solía ser. crema de hongos es muy decepcionante. Buen lugar pero...la comida necesita tener una mejora.Más"
"El Panoptico","Buena comida, servicio no tan bueno","En días pasados con compañeros de trabajo estuvimos allí, los platos muy bien, buen sabor, pero servicio....... Bueno preguntamos tiempo de llegada del plato, para ordenar entradas respuesta 5 minutos y entonces no ordenamos entradas, el plato se demoro media hora.

Luego pedimos café y...Más"
"Upper Side 81St Street","Bueno pero no tanto","Es muy costoso para lo que ofrece. La comida es rica, pero no para su precio. Las croquetas de calamar no son lo esperado. La carne es buena."
"Cafe Amarti","Esta vez no estuvo tan bueno...","Hace un tiempo no iba, pero volví y no me fue tan bien. Las entradas estuvieron muy ricas pero el risotto me defraudó un poco, no estaba feo pero no estaba ni en el punto que debe ser ni el mejor sabor, tal vez tuve...Más"
"El Arabe","Una desilusión luego de la larga espera...","Al llegar no teníamos reserva, y pues obvio qué hay que esperar con paciencia, preguntamos a la mesera y nos informó que en 5 minutos desocupaban una mesa, esos cinco minutos se convirtieron en 30 min, pero bueno, el sitio estaba bastante concurrido y parecía...Más"
"Kfc","Rico, práctico, rápido, accesible","He comido de este pollo en muchos puntos de venta de diferentes países y me gusta encontrar el mismo sabor y calidad de los productos, aunque he notado que algunas opciones son adaptadas al mercado local. Los precios son accesibles y el servicio, auqnue no...Más"
"Pizza 1969 gourmet","Puntuacion","La atencion de los meseros pesima, no tiene concordancia calidad precio,"
"Wok","Muy demorada la atención","Se demoraron 20 minutos en tomar la orden, a pesar de no estar lleno fue desordenada la atención y la panacota no cumple las expectativas"
"La Xarcutería","Cada uno decide!","En lo particular es un muy buen sitio en Bogotá, pero su disponibilidad en la carta no permite que el cliente disfrute a su gusto, en lo particular deguste el corte de carne  tipo  Rib pero no dio ese toque que debe tener éste!."
"El Kilo Marisquería","Almuerzo Sábado","Buen ambiente. Buena atención. Langostinos en tocineta deliciosos. Brocheta de mariscos muy rica. Arroz camarón cangrejo por debajo de expectativas."
"Brasa Brasil ","Restaurante rodizio Regular casi malo","Fui el viernes pasado para el cumpleaños de un familiar, sigue teniendo la misma decoración que hace 20 años, realmente necesita urgente una renovación. Cuentan con música en vivo, pues que lo hace algo ameno. La verdad el rodizio empezó bien, trajeron una picanha espectacular,...Más"
"Centrico Restaurante Bar","Vale la pena ir","El sitio queda  en el piso 41 de un edificio, primero te encuentras  con un restaurante de buena comida pero creo que es un poco cara para la calidad de la comida. En la azotea se encuentra el bar-discotk de un  ambiente agradable y bueno...Más"
"El Son de los Grillos","Regular","El sitio muy bonito la atención muy buena 
La comida regular 
Él Plato de mi esposo estaba frío 

Xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx"
"Fusionario Restaurante","Porciones pequeñas","Para la gente de buen comer tiene que pedir burrito porque los otros platos son de porción pequeña. Esta bien para un almuerzo o comida con amigos."
"Agadon","Ha Desmejorado","Estuvimenos el Domingo por la noche y encontramos los siguiente:

-Por lo menos 6 platos de la carta no estaban disponibles, lo cual decepciona de entrada al llegar al sitio.
-Un valor agregado del sitio generalmente era la tocineta hecha en casa, crocante y deliciosa,...Más"
"Bruto","Deben traer un gerente diferente","Este sitio, está muy bien ubicado en una casona de quinta Camacho, la decoración está bien lograda sin embargo la experiencia no es satisfactoria debido al servicio. 
Es normal que un viernes este restaurante esté totalmente reservado pero el manejo de la barra es inadecuado...Más"
"The Pub Usaquén","Buena opción para tomar cerveza","Tiene buena cerveza estilo artesanal, si bien la fachada no tienta a entrar, adentro el ambiente esta bueno, aunque las luces que aumentan y bajan la intensidad terminaba siendo molesto. Buena atención."
"Circo Terraza Zona G","Ruidoso y mal atencion","A pesar de haber visitado el lugar por más de una vez, siento que cada vez desmejoran su servicio, llegue con una amiga a pedir una mesa y nos dijeron que todo estaba reservado, luego un amigo se acercó a pedir una mesa y a...Más"
"Teo Estiatorio","promedio","Me alojé en el hotel Morisson, así que nos fuimos a cenar. Yo era el único. he pedido el calamares y fue muy bueno. El linguini estaban bien, no tenían lista de vino!!! precio no está mal"
"Pescadería El Velero","Normal","Restaurante amplio, con variada comida de mar. La comida no me parecio tan buena como decian, más bien es normal. Los acompañamientos de los platos principales son muy pequeños.  En un día frio no vale la pena comer en el piso de arriba, pues se...Más"
"Cacio & Pepe Taverna Italiana","Es un buen sitio para tomar y comer...aunque costoso","Este es un sitio ubicado en muy buen lugar de Bogotá. Tiene terraza. 
Tiene variedad de licores y la comida es italiana.  
Si quieres charlar, tener buen ambiente y picar cosas ricas este es el lugar."
"Santa Costilla","Buena preparación pero el sabor muy normal","Pedí las costillas con la salsa aparte para poder apreciar el sabor de las costillas apropiadamente ... Las costillas las prepararon perfectamente... Se deshacen con tocarlas pero su sabor verdaderamente deja mucho por desear , la salsa tampoco lo mejora.... La limonada de cereza muy...Más"
"Fusionario Restaurante","Malo","hacen muchos inventos y mezclas raras pero eso no los hace un buen restauruante, los burritos que venden son bien malos deberían renovar la carta, llevan años con lo mismo."
"Al Agua Patos","Filas eternas y servicio lento","Servicio lento, mediocre. Los espacios en la terraza son estrechos. El ruido ya es absurdo los fines de semana. No se puede desayunar con tranquilidadMás"
"La Bagatelle - Calle 94","Otro Lugar para desayunar con mal servicio","Considerando lo que cobran podrian mejorar la atencion. Tardan mucho, se equivocan y pareciera que para que sonrian hay q pagar extra. No vuelvo mas..."
"Jaime Gourmet Cocina Peruana","Para un rato","Un lugar y un menú para pasar un rato...pero no para generar una experiencia. El servicio es bueno gracias al tamaño pequeño del lugar. Esta bien decorado y la música tiene un volumen agradable que permite dialogar."
"Kong","FALLA ALGO","El restaurante en sí, esta bien, buena decoración, el personal bien,(el camarero de nuestra mesa ,muy educado) pero ,hay fallos que un restaurante de este precio,no se admiten. Pedimos arroz con langostinos, verduras variadas, lomo en salsa y pato caramelizado.  Todo lo trajeron junto y...Más"
"Piazza Italia By Storia D'amore Calle 93","Storia d’amore","Es un restaurante visualmente muy lindo, sus instalaciones y atención son impecables. Pero en los platos fuertes les hace falta fuerza, tiene sabores muy planos nada que sorprenda. Su tiramisu si tiene ganado el título del mejor del mundo.Más"
"Cafeteria Rausch Brothers","Buenn lugar","Buena eleccion para tomar un cafe acompañado de alguna comida liviana o un postre, buena atencion , ambiente agradable"
"restaurante mirador la paloma","Grandes vistas. Comida normal","El local es una especie de cabaña en los cerros. Está pensado para parejitas y para disfrutar de las vistas de Bogotá. Las vistas son espectaculares.

La comida normal para lo que ofrece la ciudad. Bebida cara.

El local no es apropiado para una comida/cena...Más"
"Al Agua Patos","Diferente","Es una propuesta diferente, la comida es buena, pero la atención al menos en este punto es pésima, es mejor reservar, la fila es eterna los domingos, la carta te la dan enseguida te sientas pero el plato lo traen mucho tiempo después al igual...Más"
"La Xarcutería","Bueno...","He estado en varias ocasiones. Lo mejor las hamburguesas y las costillas. El sitio.... Podría ser mejor y una recomendación para su gerente, mezclar meseros jóvenes con maduros. Observo muchos jóvenes meseros en plan de amigos y poco trabajo. 
En cuanto comida tiene unas ricas...Más"
"Restaurante La Jugueteria Cedritos","Lindo sitio !","El sitio es lindo, decoracion creativa y buen ambiente. La comida no me parece nada creativa, es muy comun y corriente , es decir, son hamburguesas y platos normalitos sin salir de lo comun. La relacion precio cantidad no es equilibrado, ya que los platos...Más"
"La Totuma Corrida","RICO PERO ME QUEDAN DUDAS","Es un buen sitio con interesante propuesta tanto decorativa como gastronomica, aunque un tanto demorado, dependiendo lo que se pida, es rapido o muyyy lento que te sirvan, es decir hay que ser paciente si se va con hambre. el sushi deja mucho que desear,...Más"
"Jungla Kumba","No tan bueno, para esos precios.","Una buena imitación de algunos restaurantes que vimos en Orlando, la comida esta bien, nos atendieron bien, pero el precio es demasiado alto, vale la pena ir a conocerlo, tomarse fotos, pero con lo que comimos 4 allí, podemos comer 5 o 6 en un...Más"
"Harrys Restaurant","Cena","La comida era muy buena. Teníamos filetes que eran tierna y cocinado lo justo. El personal era eficiente y amable. Por desgracia, el lugar es un poco ruidoso. Pero en conjunto fue una buena experiencia para cenar."
"Karen's Pizza","Mejor que pizzas de cadenas","Platos ordenados: lasagna especial y pizza armada con chorizo tocineta y jamón serrano. Un sitio conocido en el norte de Bogotá con buena iluminación y ambiente cómodo y adecuada música de fondo. El servicio tiene bastantes oportunidades de mejora los meseros no están atentos a...Más"
"La Hamburgueseria","Sólo promedio","Esperábamos mucho más de este lugar basado en la revisión de los precios y Lonely Planet, mi novio tenía su hamburguesa, pero era normal, él tenía una mejor en un bar normal en un hostal en Pereira, pero por menos de la mitad de este...precio. Probé el de lentejas y era seco y sabor si se hizo un par de días antes, ciertamente no era fresco. Pagamos 50 000 pesos por dos hamburguesas y dos cafés y sin duda no fue digno el pasado, comimos mejor por menos en muchos lugares en Colombia.
Pero el lugar es muy acogedor, muy bien decorado y el personal era muy agradable.Más"
"Entre Cuates","Muy bueno!!!","Un sitio agradable, bien ubicado y la comida nos gustó mucho.
La atención estuvo bien y el precio nos pareció adecuado por la calidad de los productos 
Definitivamente volveremos"
"Bistronomy by Rausch","Mas gustoso que Criterion","Gratamente sorpredida con el lugar, bonito físicamente y la comida y servicio sobresalientes. Palmitos con espinaca: yummy... Langostinos apañados con falafel: re-yummy y croquetas de risoto: YUMMY"
"Julia","Normal","Buena pizza, muy sencillas y poca variedad. Precios muy elevados y una fila interminable para comer un poco ""apretados"". No me gustó mucho el ambiente."
"La Granja Naranja","Para toda ocasión","Decidí venir por qué es un lugar recomendado para niños y mascotas; y descubrí un espléndido y mágico lugar para salidas con amigos, familia, solo, etc. Tienen diferentes ambientes y la comida tiene una relación precio calidad muy bueno. Servicio bueno pero puede ser mejor...Más"
"Hatsuhana","Buen lugar para disfrutar de un Tepanyaki","Requiere una pequeña actualización de sus instalaciones, el lugar es tranquilo y el personal es muy profesional y atento. Los platos son de primera y el Tepanyaki vale la pena probarlo. Los precios no son las mas económicos."
"Oliveto Pizza & Pasta","Buena pizza","Es un sitio agradable en el cual se puede pasar un buen rato y comer rico. Su variedad de pizza es buena y muy rica. Es unnlugar al cual se puede volver sin que aburra su menú."
"Hard Rock Cafe","Tradional americano sin pretenciones","La comida esta estandarizada en todos los restaurantes. Esta muy bien ubicado dentro del centro comercial Atlantis. El servicio y precio son buenos para lo que ofrecen."
"Smoking Molly","almuerzo de trabajo","Excelente la ambientación del lugar y buen sitio creo que lo mejor seria compartir unos buenos cócteles en la noche; para el horario que fui en el almuerzo quede con ganas de compartir unos buenos tragos Recomendación. deberían ser mas específicos en el nivel de...Más"
"El mejor ajiaco del mundo","Comida típica colombiana en el centro (ajiaco)","En candelaria, en el centro es una buena opción de un almuerzo con rápido servicio y buena atención. Tiene un segundo piso con un techo de 1,75 cm. Así que si eres muy alto recomiendo estar abajo o buscar otro lugar.

Sobre le ajiaco, particularmente...Más"
"Cafe & Crepes - El Cafe del Alpinista","EXCELENTES PICADAS Y COCTELES","Soy visitante asiduo del lugar, me encanta la calidad de sus carnes y los cocteles baratisimos de 4:00 a 7:00 pm, el servicio es bueno, falta mas iluminacion en la entrada."
"Restaurante Wok","carta generosa","Me gusta la variedad de carta en wok. El veggie roll, el pllo marañon y los wonton de arequipe son deliciosos y de entrada unas gyozas al vapor! Hay muchos jugos de frutas exóticas."
"Cuzco","Muy buena comida peruana","Éramos 5 y pedimos tanto entradas (ceviches, causa,tiraditos) como platos principales (arroces, pulpo, lomo salteado), estaban todos muy buenos, en especial los arroces y el lomo salteado. Muy buena variedad de gin tonics y excelente servicio. Muy recomendado"
"Primi","Muy bueno","La pizzeta es un éxito! Deliciosa y perfecta como una entradita para compartir. Excelente atención, buena carta de vinos. Recomendado: los raviolis de rabo de toro, una delicia!"
"Pizza 1969 gourmet","Pizza que si vale la pena","Si quieren comer masa cocinada o pizza tipo callejera mejor vayan a papa johns, pero si quieren una pizza a las que de verdad se les come algo, y rico, esta es muy buena alternativa. Ojo! nunca pidan un domicilio de 1969 porque pierden el...Más"
"Agave Azul","experiencia particularmente deliciosa","un concepto vastante diferente de como apreciar y degustar comida mexica, ambiente agradable para  disfrutar entre amigos o con la familia, los margaritas ...espectaculares, tiene gran variedad"
"Pajares Salinas","Nada como un buen restaurante con la compañía correcta","El lugar es muy sobrio, tal vez un poco aburrido para una pareja joven, ya que solo se observan empresarios mayores y políticos de renombre, sin embargo, la atención del personal es excelente, la comida deliciosa y de entrada recomendadisimo el Boquerón"
"Cantina y Punto","Buen ambiente","Agradable, comida Mexicana con carta diferente, mezclas atrevidas pero con gran sabor y presentacion, tamaño adecuado. El ambiente del lugar es muy bueno, tal vez las sillas altas algo despedidoras pero nada dramatico."
"El Corral Gourmet","hamburguesas y más","El Corral gourmet es un lugar de hamburguesas premium para visitar. En su menú encontrará prácticamente todo, desde ensaladas a bistec ... pero hay que tolerar probar sus hamburguesas ... increíble!"
"Mi Gran Parrilla Boyacense","Típica comida Boyacense con sabor de casa","Es que na muy buena opción, a pesar de estar en el centro comercial. El precio es un poco elevado, sin embargo la comida lo vale. Platos típicos con. El sabor adecuado servido en buenas proporciones. Buen servicio y trato."
"Cuarto Frio Gastrobar","propuesta diferente","un sitio bien montado con una decoración intersante tal como su nombre. buen ambiente aunque ratifico lo dicho por varias personas en cuanto al alto volumen de la musica, la cual es muy buena, pero no deja tener una conversación entre las personas de la...Más"
"La Ventana restaurante","Cumpleaños feliz 
Excelente","Cumpleaños feliz 
Excelente sitio 
Buena presentación de los platos 
No es económico pero valió la pena"
"Oliveto Pizza & Pasta","La pizza es muy rica","He ido con amigas para celebrar mis cumpleaños y como soy italiano me trajeron aqui la pizza es muy rica excelentes ingredienter y muy ricos...no he comido pastas pero si la pizza se merece un 8/10"
"Buffet King Bogota San Martin","All you can eat - sirve justo lo que te comas","Hoy fui por primera vez a all you can eat buffet king. Queda por la cra 7 en el mismo edificio donde queda céntrico y al lado BBC.

Entre semana debes pagar 21.000 y el fin de semana 27.000. A que tienes acceso??
Variedad de...Más"
"El Chato Bogota","Buen restaurante,  diferente","Un restaurante con buena comida, en general los platos están bien preparados,  con buenos ingredientes y buena técnica,  buen servicio.  Un plato diferente y delicioso,  tal vez el mejor de este sitio: los corazones de pollo.   El ambiente es acogedor,  la ubicación tiene un atractivo...Más"
"La Vecindad - Mexican Grill","Opción agradable","Fui invitado por mi cumpleaños a este sitio, es una buena opcion de comida fusión de tipo mexicano, no exactamente la tradicional cocina mexicana pero muy buena, variedad de platos, burritos, tacos, flautas, etc., las tradicionales aguas, jugos y cervezas entre otras, el ambiente con...Más"
"Cabrera Resto-Bar","Buen sitio de comida y rumba!","Cabrera es un sitio en la zona T de Bogotá, muy recomendado para ir a comer y a tomar unos buenos tragos, si quieres un ambiente tranquilo con buena música el primer piso es perfecto, si ya quieres un poco mas de fiesta el ultimo...Más"
